source,target,value
Diana,Viego,0.114944478847671
Diana,Seraphine,0.11367203074234622
Graves,Malphite,0.20995393737858725
Lux,Soraka,0.12639651179559394
Soraka,Vex,0.17941518285079272
Soraka,Vayne,0.28502837559274874
Nocturne,Tristana,0.18832231958806614
Maokai,MissFortune,0.11706522568987894
Jhin,Xerath,0.38979326959782157
Lux,Xerath,0.17178049421884412
Khazix,Soraka,0.1938362613778068
Katarina,Soraka,0.18280837779832546
Malzahar,Viego,0.1064614914788392
Malphite,MasterYi,0.3007219022250876
Katarina,Sion,0.12130671937429485
Brand,Malphite,0.1493005776914398
Brand,JarvanIV,0.11706522568987894
Amumu,Nasus,0.21419543106300315
Brand,Nasus,0.2387960944326154
Amumu,Sivir,0.10094754968909851
Amumu,Brand,0.18408082590365024
Garen,Seraphine,0.1153686282161126
Kaisa,Shen,0.10391659526818964
Nocturne,Vex,0.19553285885157318
Leona,MissFortune,0.9110728434125361
Lulu,Lux,0.14463493463858232
Trundle,Veigar,0.11409618011078781
Mordekaiser,Trundle,0.10434074463663123
Senna,Trundle,0.10815808895260554
Nautilus,Warwick,0.15311792200741414
Aatrox,Vayne,0.14717983084923186
Sett,Volibear,0.12894140800624349
Ashe,Vi,0.10052340032065692
Soraka,Tristana,0.16075261063936275
Fiora,Zyra,0.10349244589974807
Teemo,XinZhao,0.20401584622040497
Khazix,Swain,0.1806876309561175
Jhin,Nasus,0.40718339370392675
Shaco,TahmKench,0.11112713453169669
Graves,TahmKench,0.1272448105324771
Graves,Nami,0.2969045579091133
MasterYi,Urgot,0.13996929158572483
MissFortune,Urgot,0.2863008236980735
Morgana,Urgot,0.15184547390208936
MasterYi,Morgana,0.5127965864458828
Cassiopeia,MasterYi,0.10391659526818964
Varus,Yone,0.13742439537507528
Amumu,Diana,0.12215501811117804
MasterYi,Swain,0.19553285885157318
Ashe,Garen,0.20995393737858725
Morgana,Viego,0.39530721138756225
Nunu,Yasuo,0.2608518615915781
Ashe,Brand,0.25873111474937016
Brand,Camille,0.12003427126897007
Kennen,Yone,0.13700024600663369
Garen,Zyra,0.1276689599009187
Urgot,Yuumi,0.1454832333754655
Vex,Yone,0.26636580338131877
Darius,Seraphine,0.12554821305871075
Khazix,Zyra,0.19213966390404044
Blitzcrank,Lux,0.15693526632338844
Veigar,Yasuo,0.25830696538092857
Amumu,Xayah,0.10773393958416395
Amumu,Pantheon,0.13063800548000984
Sion,Yone,0.14463493463858232
Lux,TahmKench,0.3083565908570362
Hecarim,Teemo,0.12512406369026915
MissFortune,TahmKench,0.3630718593860014
Teemo,Yasuo,0.8084286962496712
Lillia,Yuumi,0.1586318637971548
MissFortune,Nasus,0.600595505713292
Amumu,MissFortune,0.9331286105714989
Nasus,Xayah,0.10943053705793032
Teemo,Tristana,0.3499232289643121
Irelia,Trundle,0.1671148511659866
MissFortune,Trundle,0.3639201581228846
Lux,Trundle,0.37452389233392436
Garen,Lux,0.48183368254964665
Rammus,Yone,0.11664107632143736
Lux,Rammus,0.15778356506027164
Annie,Graves,0.10306829653130647
Graves,MissFortune,0.7291127643510938
Graves,Xerath,0.185353274008975
Annie,MissFortune,0.26212430969690287
Graves,Nasus,0.17517368916637682
Brand,Lillia,0.10052340032065692
DrMundo,MasterYi,0.1497247270598814
Diana,MasterYi,0.12597236242715235
Malphite,Zyra,0.10306829653130647
Amumu,Sett,0.2973287072775549
Blitzcrank,Khazix,0.24939982864365515
Blitzcrank,Jhin,0.3656167555966509
Katarina,Urgot,0.1107029851632551
Garen,Jinx,0.17135634485040252
Fiora,Nami,0.15396622074429733
Brand,Sett,0.27357634264482583
Soraka,Volibear,0.10900638768948873
Kassadin,Sett,0.10900638768948873
Khazix,Sion,0.14336248653325753
Sona,Yone,0.15099717516520617
Cassiopeia,Ezreal,0.11621692695299576
Ezreal,Sona,0.13403120042754257
Annie,Yuumi,0.10434074463663123
Nasus,Twitch,0.17899103348235113
Blitzcrank,Draven,0.15269377263897255
Blitzcrank,Sett,0.1993502031675475
Nasus,Sylas,0.16669070179754503
Kayle,Yasuo,0.3015702009619708
Draven,Veigar,0.10985468642637192
Teemo,Viego,0.3825827303343145
Lillia,Pyke,0.1497247270598814
Kayle,Zed,0.20231924874663862
Kayle,MissFortune,0.3757963404392491
Irelia,Sona,0.10858223832104713
MissFortune,Sona,0.2434617374854729
Teemo,Zed,0.4839544293918546
Teemo,Vi,0.11876182316364532
Evelynn,Zed,0.18238422842988386
Jax,Zyra,0.13996929158572483
Nocturne,Veigar,0.114944478847671
Yasuo,Zyra,0.39191401644002954
JarvanIV,MissFortune,0.33380555296353165
Swain,Teemo,0.16456995495533708
Seraphine,Shaco,0.11748937505832054
Jhin,Teemo,0.5662394068695232
Amumu,Lux,0.5102516902352332
Amumu,Veigar,0.1497247270598814
Sett,Trundle,0.12469991432182757
Amumu,Garen,0.19298796264092363
MissFortune,Nunu,0.23582704885352426
Diana,Tristana,0.23625119822196583
Teemo,Warwick,0.2863008236980735
Rakan,Vex,0.10476489400507283
DrMundo,Pyke,0.10858223832104713
Warwick,Zyra,0.13530364853286733
Amumu,Zyra,0.10985468642637192
Khazix,Sona,0.10179584842598169
Sona,Vayne,0.13827269411195847
Lux,Yorick,0.18280837779832546
Jhin,Vi,0.18408082590365024
Diana,Teemo,0.18789817021962454
Diana,Pantheon,0.10306829653130647
Draven,Lillia,0.10052340032065692
Brand,Warwick,0.2209818209580686
Teemo,Xerath,0.17008389674507776
Amumu,Malphite,0.20528829432572976
Darius,Soraka,0.14209003842793277
Shaco,Xayah,0.1107029851632551
Jhin,Velkoz,0.18280837779832546
DrMundo,Vayne,0.13954514221728323
Graves,Veigar,0.16117676000780434
Nasus,Warwick,0.16117676000780434
Brand,Fizz,0.11367203074234622
Braum,Vayne,0.1191859725320869
Amumu,Tryndamere,0.20443999558884657
Blitzcrank,Diana,0.1497247270598814
Nunu,Vex,0.10900638768948873
FiddleSticks,Yasuo,0.23243385390599153
Draven,Lulu,0.1285172586378019
Lux,Thresh,0.2082573399048209
Graves,Zyra,0.1586318637971548
Sett,Swain,0.15099717516520617
Amumu,Jhin,0.4678367533910742
Malzahar,MissFortune,0.23964439316949857
Graves,Xayah,0.14378663590169913
Graves,Rakan,0.114944478847671
Nautilus,Teemo,0.2519447248543047
Ezreal,Soraka,0.26594165401287717
JarvanIV,Morgana,0.150148876428323
Lux,Ornn,0.12257916747961962
Vayne,Velkoz,0.12427576495338598
MasterYi,Teemo,0.3851276265449641
Khazix,Urgot,0.1285172586378019
Jhin,Zyra,0.34525758591145456
Blitzcrank,Lillia,0.11579277758455417
Jax,Shaco,0.18323252716676705
Blitzcrank,Ekko,0.1845049752720918
Nocturne,Tryndamere,0.12342746621650279
MissFortune,Yorick,0.17008389674507776
Shaco,Soraka,0.12003427126897007
Sona,Yasuo,0.19213966390404044
Nasus,XinZhao,0.13912099284884163
Brand,XinZhao,0.17602198790326
Lillia,Vayne,0.2167403272736527
Ekko,Riven,0.11409618011078781
Twitch,Warwick,0.15566281821806366
Jinx,Teemo,0.3007219022250876
Ahri,Graves,0.12300331684806122
Tristana,Trundle,0.15142132453364776
Jinx,Trundle,0.13700024600663369
Lucian,Yorick,0.11155128390013826
Anivia,Jhin,0.1276689599009187
Amumu,Tristana,0.29011816801404783
Amumu,Zed,0.34568173527989615
Nami,Teemo,0.255762069170279
Sivir,Yuumi,0.12469991432182757
Annie,Viego,0.11282373200546304
Garen,Xerath,0.12682066116403554
Shyvana,Yasuo,0.1590560131655964
Karma,Teemo,0.12554821305871075
Fizz,Nautilus,0.10858223832104713
Amumu,Camille,0.11027883579481351
MasterYi,Xayah,0.13954514221728323
Mordekaiser,Warwick,0.1768702866401432
Fizz,Samira,0.10518904337351441
Nasus,Veigar,0.15735941569183004
Garen,XinZhao,0.11791352442676213
Khazix,Sivir,0.11409618011078781
Lux,Nautilus,0.15226962327053095
Ekko,Nami,0.22691991211625087
Jinx,Leblanc,0.1624492081131291
JarvanIV,Mordekaiser,0.10094754968909851
DrMundo,Ezreal,0.17474953979793523
Brand,DrMundo,0.11367203074234622
Graves,Teemo,0.3092048895939194
Swain,XinZhao,0.10009925095221532
Khazix,Teemo,0.38724837338717205
Soraka,Teemo,0.17135634485040252
Amumu,Riven,0.1276689599009187
Jhin,Malzahar,0.17474953979793523
Jhin,Zilean,0.1323346029537762
Jax,Xerath,0.14802812958611505
Sion,Yuumi,0.12512406369026915
Shaco,Xerath,0.12512406369026915
Urgot,Yone,0.14463493463858232
Fizz,Nami,0.11621692695299576
JarvanIV,Xerath,0.10052340032065692
Jhin,Sion,0.23413045137975788
Sett,Twitch,0.23116140580066677
Sett,Soraka,0.1675390005344282
Blitzcrank,Graves,0.22055767158962702
KogMaw,Lulu,0.23582704885352426
Amumu,Vex,0.28418007685586555
Amumu,Lulu,0.1272448105324771
Brand,Trundle,0.13445534979598417
Leona,Volibear,0.17178049421884412
Nocturne,Teemo,0.20062265127287227
Nasus,Xerath,0.1459073827439071
Amumu,Xerath,0.1365760966381921
Soraka,XinZhao,0.11748937505832054
Nasus,Senna,0.17390124106105206
Swain,Vayne,0.1942604107462484
Rell,Yasuo,0.11876182316364532
MissFortune,Rell,0.14209003842793277
Shaco,Volibear,0.1060373421103976
Shaco,Teemo,0.24855152990677196
Lulu,Nocturne,0.13318290169065938
Lux,Sion,0.23285800327443312
Irelia,Nasus,0.16075261063936275
Malzahar,Nami,0.10052340032065692
Annie,Yasuo,0.1107029851632551
Blitzcrank,Teemo,0.25830696538092857
Chogath,MasterYi,0.12936555737468508
Graves,Lillia,0.12597236242715235
Diana,Khazix,0.11579277758455417
Lucian,Vi,0.13700024600663369
Lucian,Zac,0.15142132453364776
Camille,Tristana,0.10391659526818964
Nasus,Swain,0.1412417396910496
Trundle,Vex,0.1802634815876759
Ashe,Lillia,0.14039344095416642
Diana,Soraka,0.12045842063741166
Brand,Shaco,0.15990431190247958
Teemo,Trundle,0.16202505874468753
Amumu,Ekko,0.12427576495338598
Fizz,Mordekaiser,0.10943053705793032
Kayle,Viego,0.15354207137585574
Leona,Warwick,0.1772944360085848
Nidalee,Yone,0.10434074463663123
DrMundo,Jhin,0.21504372979988634
Pyke,Urgot,0.10688564084728079
Malzahar,Vayne,0.12003427126897007
JarvanIV,Nami,0.14378663590169913
Brand,Graves,0.28290762875054076
Ahri,Warwick,0.11239958263702145
Jhin,Lillia,0.3092048895939194
Sion,Vayne,0.14421078527014072
Braum,Yone,0.13869684348040007
DrMundo,Khazix,0.13869684348040007
Ekko,Graves,0.1675390005344282
Kayle,Nautilus,0.12682066116403554
Amumu,Urgot,0.10730979021572237
Lillia,Sett,0.1276689599009187
Cassiopeia,Yasuo,0.10009925095221532
Morgana,Trundle,0.19468456011469
Jhin,Rammus,0.1319104535853346
Sona,Zed,0.11367203074234622
Sona,Teemo,0.10009925095221532
Braum,Irelia,0.10434074463663123
Ashe,DrMundo,0.1323346029537762
Brand,TahmKench,0.12385161558494438
Volibear,Xerath,0.12385161558494438
Irelia,Nunu,0.1285172586378019
Kayn,Malzahar,0.14887642832299822
DrMundo,Senna,0.11155128390013826
Nunu,Zed,0.11027883579481351
Kayle,MasterYi,0.17432539042949363
Blitzcrank,Trundle,0.10391659526818964
Soraka,Warwick,0.1191859725320869
Nasus,Trundle,0.10900638768948873
Ekko,Khazix,0.10264414716286488
Nami,XinZhao,0.1459073827439071
MasterYi,Rakan,0.10943053705793032
Braum,Teemo,0.10815808895260554
MissFortune,Ornn,0.15184547390208936
Camille,Graves,0.1107029851632551
Yone,Ziggs,0.14039344095416642
Malzahar,Yuumi,0.11324788137390464
Amumu,Graves,0.16796314990286978
Ahri,Nami,0.1191859725320869
Blitzcrank,Twitch,0.12469991432182757
Pyke,Xayah,0.10221999779442328
Jhin,Neeko,0.14081759032260802
